Date,Rolling_Beta,R_Squared
2021-02-08,1.2735545547346665,0.676006532371275
2021-02-15,1.2807243966334654,0.6783201963458375
2021-02-22,1.2876391636532267,0.671615482257403
2021-03-01,1.2798288216477425,0.6686192089399301
2021-03-08,1.2796410422293627,0.6650478043286754
2021-03-15,1.2846211199967659,0.6685484071636241
2021-03-22,1.2790453160936426,0.6636752087507043
2021-03-29,1.2822178629982468,0.6638394871676973
2021-04-05,1.2788580056329661,0.6629667254361414
2021-04-12,1.2783343202002495,0.664014156595092
2021-04-19,1.2774174320977985,0.6638347638055478
2021-04-26,1.2731953424145064,0.6608815088361236
2021-05-03,1.2746562407041437,0.6626694474444509
2021-05-10,1.2786899328184032,0.659905385229515
2021-05-17,1.27844244250677,0.660248714629628
2021-05-24,1.2798184383968907,0.6600174460126188
2021-05-31,1.2837517607503641,0.6598431122346229
2021-06-07,1.2775961332611856,0.6543583491665493
2021-06-14,1.2775079843184938,0.6546401923667751
2021-06-21,1.2772843402183236,0.6556822421795125
2021-06-28,1.2768279500468143,0.6583848890088834
2021-07-05,1.2778963498652363,0.6591355623589906
2021-07-12,1.2782550993195365,0.6590055069242555
2021-07-19,1.2750118138807514,0.6573696260819994
2021-07-26,1.2766711128137167,0.6612256269578436
2021-08-02,1.280316230343503,0.6598917359629404
2021-08-09,1.278400498493355,0.6605153982575439
2021-08-16,1.2757120156008037,0.6600482565119543
2021-08-23,1.2741194908584013,0.6586328283097469
2021-08-30,1.2747922094257924,0.6581543189118352
2021-09-06,1.2747047190283332,0.6540018835538083
2021-09-13,1.274018786419888,0.6556924254900355
2021-09-20,1.2787919151602716,0.655507342621309
2021-09-27,1.2797281529113835,0.6558277525433387
2021-10-04,1.282141582221608,0.6583522140337436
2021-10-11,1.2820178602301129,0.6591009301696082
2021-10-18,1.2816812652508678,0.6602061100310742
2021-10-25,1.2743167828623698,0.6708605715218933
2021-11-01,1.2677545069480216,0.6634477142259091
2021-11-08,1.2691735880325155,0.6664899207918467
2021-11-15,1.2659801200127052,0.6635277991525725
2021-11-22,1.266515885391517,0.6633917797692561
2021-11-29,1.267283734556205,0.6648913655302783
2021-12-06,1.2653324585995076,0.6655961322998876
2021-12-13,1.2565864749703675,0.6625473729249212
2021-12-20,1.2545783751696766,0.6630614606428388
2021-12-27,1.248703779995616,0.6594391188366855
2022-01-03,1.2499931003952625,0.6573362236416753
2022-01-10,1.2539839266470876,0.6594340287385368
2022-01-17,1.2523934400044265,0.6590013604606157
2022-01-24,1.2284669689570693,0.6519174101547971
2022-01-31,1.2365967681125063,0.6574285777002123
2022-02-07,1.2335496619679809,0.6527347513133915
2022-02-14,1.2270334943228962,0.6506208462043358
2022-02-21,1.2225083061719477,0.6555646229017661
2022-02-28,1.2604378271679726,0.6457675567612378
2022-03-07,1.254223999351529,0.6444816852923355
2022-03-14,1.3156460104991101,0.6552043481209568
2022-03-21,1.1923247980353482,0.5598727566462253
2022-03-28,1.2147865509072295,0.5173335572390373
2022-04-04,1.1924742943955926,0.5136276613428092
2022-04-11,1.2138883091414128,0.4639744977666162
2022-04-18,1.1988571122165381,0.45440165524640835
2022-04-25,1.1396595901474733,0.406356510567996
2022-05-02,1.1143372470186597,0.39886233724990783
2022-05-09,1.10774667646947,0.39218107651820827
2022-05-16,1.0606953375559978,0.380963704508552
2022-05-23,1.0705177221114757,0.38760489928153546
2022-05-30,1.026052946483545,0.381539027769386
2022-06-06,0.9342356264855148,0.3616383563174024
2022-06-13,0.8624075997637604,0.3394514251657909
2022-06-20,0.921961028816934,0.3792296040420866
2022-06-27,0.88969291450977,0.3797017442701117
2022-07-04,0.8678383251603959,0.36502718771134884
2022-07-11,0.8658504096727205,0.36366723458086586
2022-07-18,0.8594559485425869,0.36567300155445726
2022-07-25,0.8724505477207625,0.3762847134863589
2022-08-01,0.8706380142380659,0.38262469699550655
2022-08-08,0.8749864954236657,0.38004828129486395
2022-08-15,0.8807305485617711,0.3862595292168351
2022-08-22,0.8795632979517376,0.38693446809984955
2022-08-29,0.9053124438706416,0.3978286013349557
2022-09-05,0.8966924415880697,0.3964389330468914
2022-09-12,0.9090013498625225,0.4037945267800814
2022-09-19,0.9611993515504019,0.4467391507483111
2022-09-26,0.9133106670800498,0.42075904651499885
2022-10-03,0.9116955017502398,0.4224980898148972
2022-10-10,0.9055873931925885,0.4150763800225027
2022-10-17,0.9083005720327446,0.41713582247138514
2022-10-24,0.901321319034488,0.42077358237262374
2022-10-31,0.9669764216342858,0.415529367142823
2022-11-07,0.9927207318432199,0.41660272573659884
2022-11-14,1.0021598495479378,0.4471173229311889
2022-11-21,1.001937679917167,0.44690791541955543
2022-11-28,1.004929055860513,0.44775815238631556
2022-12-05,1.0068228891880475,0.4485249152291294
2022-12-12,1.008034936005595,0.4557682711930571
2022-12-19,1.0134143206233108,0.4621119282267122
2022-12-26,1.0141314345231012,0.4621503886120757
2023-01-02,1.0110277440313535,0.4609078091733262
2023-01-09,1.0166951580844092,0.4577887392517758
2023-01-16,1.007636490821959,0.4575981768912224
2023-01-23,1.0159354526428226,0.46209256533970594
2023-01-30,1.0045015033707876,0.4558997344374254
2023-02-06,1.0072553992495306,0.4409965768713314
2023-02-13,1.0077316462651802,0.44075373735898493
2023-02-20,0.9994000125662994,0.45127831819243824
2023-02-27,1.0162304082560023,0.4600839307225648
2023-03-06,1.0113184236612538,0.46194433691885395
2023-03-13,1.0199200948458056,0.47055165461741194
2023-03-20,1.0189538836733938,0.46635710093463834
2023-03-27,0.9971119993897489,0.45588205196649134
